海面水位-上昇	原因	海水-熱膨張
海面水位-上昇	原因	氷河-融解
海面水位-上昇	原因	氷床-融解
強い台風-増加	原因	海水温-上昇
中心気圧-低下	原因	海水温-上昇
強い台風-増加	原因	中心気圧-低下
高潮-増大	原因	台風-強化
吹き寄せ効果-強化	原因	台風-強化
吸い上げ効果-強化	原因	台風-強化
高潮-増大	原因	吹き寄せ効果-強化
高潮-増大	原因	吸い上げ効果-強化
高波-波高増大	原因	台風-強化
通常潮位-上昇	原因	海面水位-上昇
海面水位-上昇傾向	予測影響	日本周辺海域
全球海面-上昇	予測影響	21世紀末の海面上昇量0.29～1.10m（1986-2005年比）
台風-特性変化	予測影響	気候変動
高潮偏差-増加	予測影響	気候変動
太平洋側-高波増加	予測影響	気候変動
災害リスク-増加抑制	対策法	ハード対策とソフト対策-最適組合せ
海岸-保全	対策法	ハード対策とソフト対策-最適組合せ
気候変動影響-把握	対策法	海面-モニタリング
気候変動影響-把握	対策法	気候-予測
ハード対策-更新	対策法	順応設計
高潮高波-災害リスク低減	対策法	ハザードマップ-作成
高潮高波-災害リスク低減	対策法	避難計画-作成
高潮高波-災害リスク低減	対策法	避難訓練-実施
高潮高波-災害リスク低減	対策法	意識啓発-実施
高潮高波-災害リスク低減	対策法	堤防-強化
高潮高波-災害リスク低減	対策法	水門-整備
高潮高波-災害リスク低減	対策法	面的防護方式
高潮高波-被害軽減	対策法	安全な場所-移転
高潮高波-被害軽減	対策法	建物-高床化
高潮高波-被害軽減	対策法	宅地-盛土
被災地-復旧迅速化	対策法	復興体制-整備
被災地-復旧迅速化	対策法	復興計画-策定
被災地-復旧迅速化	対策法	復興訓練-実施
海水-熱膨張	発生要因	気温-上昇
氷河-融解	発生要因	気温-上昇
氷床-融解	発生要因	気温-上昇
海水温-上昇	影響	中心気圧-低下
中心気圧-低下	影響	強い台風-増加
台風-強化	影響	吹き寄せ効果-強化
台風-強化	影響	吸い上げ効果-強化
吹き寄せ効果-強化	影響	高潮-増大
吸い上げ効果-強化	影響	高潮-増大
海面水位-上昇	影響	通常潮位-上昇
ハード対策とソフト対策-最適組合せ	影響	災害リスク-増加抑制
ハード対策とソフト対策-最適組合せ	影響	海岸-保全
海面-モニタリング	目的	気候変動影響-把握
気候-予測	目的	気候変動影響-把握
順応設計	適用対象	ハード対策-更新
気温-上昇	原因	気候変動
気候変動	影響	海面水位-上昇
気候変動	影響	海水温-上昇
気候変動	予測影響	全球海面-上昇
気候変動	予測影響	高潮偏差-増加
気候変動	予測影響	太平洋側-高波増加
