主要穀物-収量減少	原因	気温-上昇
主要穀物-収量不安定化	原因	気温-上昇
作物生産-年々変動増大	原因	気温-上昇
複数生産地域-同時不作	原因	気温-上昇
気候変動-収量影響報告	影響	主要穀物-収量
気候変動-収量影響	予測影響	温暖地域-マイナス影響
主要作物-収量減少	予測影響	気候変動-影響
食料安全保障-取組	対策法	食料供給-リスク分析評価
食料安全保障-取組	対策法	海外食料需給情報-活用
安定供給-確保向上	対策法	国内農業生産-増大
安定供給-確保向上	対策法	輸入-安定化
安定供給-確保向上	対策法	備蓄-活用
不測時-対応	対策法	緊急事態食料安全保障指針
不測時-対応	対策法	BCP-策定
不測時-対応	対策法	TCFD提言-シナリオ分析
不測時-対応	対策法	栽培技術-改善
不測時-対応	対策法	新品種-開発
生産国-生育状況把握	対策法	全球-監視予測
食料供給-リスク分析評価	実施主体	農林水産省
食料供給-リスク分析評価	頻度	定期
海外食料需給情報-活用	情報提供目的	世界需給-把握
海外食料需給情報-活用	情報提供目的	世界価格動向-把握
海外食料需給情報-活用	具体例	食料安全保障月報
食料安全保障月報	対象	食品加工業者
食料安全保障月報	対象	飼料製造業者
輸入-安定化	対策手段	輸入相手国-関係維持強化
輸入-安定化	対策手段	関係情報-収集
輸入-安定化	対策手段	流通基盤-強化
備蓄-活用	実施内容	備蓄-放出
備蓄-放出	目的	供給-維持
緊急事態食料安全保障指針	目的	食料供給影響事態-的確対処
BCP-策定	目的	重要業務-中断回避
TCFD提言-シナリオ分析	検討対象	原料農産物-影響評価
全球-監視予測	情報源	GEOGLAM Crop Monitor
GEOGLAM Crop Monitor	利用データ	衛星観測データ
GEOGLAM Crop Monitor	利用データ	現地調査データ
